,index,0
0,address1,33 Boulevard Prince Henri
1,city,Luxembourg City
2,zip,1724
3,country,Luxembourg
4,website,https://www.spotify.com
5,industry,Internet Content & Information
6,industryKey,internet-content-information
7,industryDisp,Internet Content & Information
8,sector,Communication Services
9,sectorKey,communication-services
10,sectorDisp,Communication Services
11,longBusinessSummary,"Spotify Technology S.A., together with its subsidiaries, provides audio streaming subscription services worldwide. It operates through two segments, Premium and Ad-Supported. The Premium segment offers unlimited online and offline streaming access to its catalog of music and podcasts without commercial breaks to its subscribers. This segment sells directly to the end users. The Ad-Supported segment provides on-demand online access to its catalog of music and unlimited online access to the catalog of podcasts to its users on their computers, tablets, and compatible mobile devices. The company also offers sales, distribution and marketing, contract research and development, and customer and other support services. Spotify Technology S.A. was incorporated in 2006 and is based in Luxembourg City, Luxembourg."
12,fullTimeEmployees,7258
13,companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Daniel G. Ek', 'age': 41, 'title': 'Founder, CEO & Chairman', 'yearBorn': 1983, 'fiscalYear': 2024, 'totalPay': 667308, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alex  Norström', 'age': 47, 'title': 'Chief Business Officer & Co-President', 'yearBorn': 1977, 'fiscalYear': 2024, 'totalPay': 1997765, 'exercisedValue': 30514040, 'unexercisedValue': 22380684}, {'maxAge': 1, 'name': 'Mr. Gustav  Söderström', 'age': 47, 'title': 'Co-President, Chief Product & Technology Officer', 'yearBorn': 1977, 'fiscalYear': 2024, 'totalPay': 2015412, 'exercisedValue': 50542320, 'unexercisedValue': 90157600}, {'maxAge': 1, 'name': 'Mr. Sven Martin Lorentzon', 'age': 55, 'title': 'Co-Founder & Director', 'yearBorn': 1969, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christian  Luiga', 'age': 56, 'title': 'Chief Financial Officer', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 4668461, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Dustee Tucker Jenkins', 'age': 45, 'title': 'Chief Public Affairs Officer', 'yearBorn': 1979, 'fiscalYear': 2024, 'totalPay': 1435082, 'exercisedValue': 2851006, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bryan Daniel Goldberg', 'title': 'Head of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Eve  Konstan J.D.', 'age': 55, 'title': 'General Counsel', 'yearBorn': 1969, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anna  Lundström', 'title': 'Chief Human Resources Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
14,auditRisk,3
15,boardRisk,9
16,compensationRisk,5
17,shareHolderRightsRisk,10
18,overallRisk,8
19,governanceEpochDate,1748736000
20,compensationAsOfEpochDate,1735603200
21,executiveTeam,[]
22,maxAge,86400
23,priceHint,2
24,previousClose,693.32
25,open,695.0
26,dayLow,692.0
27,dayHigh,714.71
28,regularMarketPreviousClose,693.49
29,regularMarketOpen,695.0
30,regularMarketDayLow,692.0
31,regularMarketDayHigh,714.71
32,payoutRatio,0.0
33,beta,1.663
34,trailingPE,112.38352
35,forwardPE,79.589226
36,volume,1013798
37,regularMarketVolume,1013798
38,averageVolume,2470025
39,averageVolume10days,1807510
40,averageDailyVolume10Day,1807510
41,bid,704.23
42,ask,705.06
43,bidSize,3
44,askSize,2
45,marketCap,145413406720
46,fiftyTwoWeekLow,288.07
47,fiftyTwoWeekHigh,717.87
