,index,0
0,address1,One Microsoft Way
1,city,Redmond
2,state,WA
3,zip,98052-6399
4,country,United States
5,phone,425 882 8080
6,website,https://www.microsoft.com
7,industry,Software - Infrastructure
8,industryKey,software-infrastructure
9,industryDisp,Software - Infrastructure
10,sector,Technology
11,sectorKey,technology
12,sectorDisp,Technology
13,longBusinessSummary,"Microsoft Corporation develops and supports software, services, devices and solutions worldwide. The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot; and office consumer services, such as Microsoft 365 consumer subscriptions, Office licensed on-premises, and other office services. This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365, a set of intelligent, cloud-based applications across ERP, CRM, power apps, and power automate; and on-premises ERP and CRM applications. The Intelligent Cloud segment offers server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services. The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of the Windows operating system; Windows commercial comprising volume licensing of the Windows operating system, windows cloud services, and other Windows commercial offerings; patent licensing; and windows Internet of Things; and devices, such as surface, HoloLens, and PC accessories. Additionally, this segment provides gaming, which includes Xbox hardware and content, and first- and third-party content; Xbox game pass and other subscriptions, cloud gaming, advertising, third-party disc royalties, and other cloud services; and search and news advertising, which includes Bing, Microsoft News and Edge, and third-party affiliates. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington."
14,fullTimeEmployees,228000
15,companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Satya  Nadella', 'age': 57, 'title': 'Chairman & CEO', 'yearBorn': 1967, 'fiscalYear': 2024, 'totalPay': 7869791, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bradford L. Smith LCA', 'age': 65, 'title': 'President & Vice Chairman', 'yearBorn': 1959, 'fiscalYear': 2024, 'totalPay': 4755618, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Amy E. Hood', 'age': 52, 'title': 'Executive VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2024, 'totalPay': 4704250, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Judson B. Althoff', 'age': 50, 'title': 'Executive VP & Chief Commercial Officer', 'yearBorn': 1974, 'fiscalYear': 2024, 'totalPay': 4534974, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Carolina  Dybeck Happe', 'age': 52, 'title': 'Executive VP & COO', 'yearBorn': 1972, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Alice L. Jolla', 'age': 58, 'title': 'Corporate VP & Chief Accounting Officer', 'yearBorn': 1966, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Jonathan  Neilson', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hossein  Nowbar', 'title': 'Chief Legal Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Frank X. Shaw', 'title': 'Chief Communications Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Takeshi  Numoto', 'age': 53, 'title': 'Executive VP & Chief Marketing Officer', 'yearBorn': 1971, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
16,auditRisk,9
17,boardRisk,5
18,compensationRisk,4
19,shareHolderRightsRisk,2
20,overallRisk,3
21,governanceEpochDate,1748736000
22,compensationAsOfEpochDate,1735603200
23,irWebsite,http://www.microsoft.com/investor/default.aspx
24,executiveTeam,[]
25,maxAge,86400
26,priceHint,2
27,previousClose,472.75
28,open,471.185
29,dayLow,466.96
30,dayHigh,472.8
31,regularMarketPreviousClose,472.75
32,regularMarketOpen,471.185
33,regularMarketDayLow,466.96
34,regularMarketDayHigh,472.8
35,dividendRate,3.32
36,dividendYield,0.7
37,exDividendDate,1747267200
38,payoutRatio,0.2442
39,fiveYearAvgDividendYield,0.83
40,beta,1.026
41,trailingPE,36.36448
42,forwardPE,31.499666
43,volume,15280017
44,regularMarketVolume,15280017
45,averageVolume,23430806
46,averageVolume10days,18521260
47,averageDailyVolume10Day,18521260
48,bid,447.45
49,ask,471.09
50,bidSize,1
51,askSize,1
52,marketCap,3500132007936
53,fiftyTwoWeekLow,344.79
54,fiftyTwoWeekHigh,473.43
55,priceToSalesTrailing12Months,12.962972
56,fiftyDayAverage,418.1512
57,twoHundredDayAverage,418.42886
